PRECINCT,CANDIDATE,PARTY,VOTES,PERCENTAGE
Election District 07-10,LYDIA YORK,Democratic Party,308,73.68 %
Election District 07-10,JANICE LORRAH,Republican Party,110,26.32 %
Election District 07-11,LYDIA YORK,Democratic Party,312,75 %
Election District 07-11,JANICE LORRAH,Republican Party,104,25 %
Election District 07-12,LYDIA YORK,Democratic Party,315,79.35 %
Election District 07-12,JANICE LORRAH,Republican Party,82,20.65 %
Election District 07-13,LYDIA YORK,Democratic Party,2,100 %
Election District 07-13,JANICE LORRAH,Republican Party,0,0 %
Election District 08-01,LYDIA YORK,Democratic Party,240,34.63 %
Election District 08-01,JANICE LORRAH,Republican Party,453,65.37 %
Election District 08-02,LYDIA YORK,Democratic Party,547,63.9 %
Election District 08-02,JANICE LORRAH,Republican Party,309,36.1 %
Election District 08-03,LYDIA YORK,Democratic Party,403,68.42 %
Election District 08-03,JANICE LORRAH,Republican Party,186,31.58 %
Election District 08-04,LYDIA YORK,Democratic Party,398,78.35 %
Election District 08-04,JANICE LORRAH,Republican Party,110,21.65 %
Election District 08-05,LYDIA YORK,Democratic Party,799,69.54 %
Election District 08-05,JANICE LORRAH,Republican Party,350,30.46 %
Election District 08-06,LYDIA YORK,Democratic Party,469,52.17 %
Election District 08-06,JANICE LORRAH,Republican Party,430,47.83 %
Election District 08-07,LYDIA YORK,Democratic Party,250,48.64 %
Election District 08-07,JANICE LORRAH,Republican Party,264,51.36 %
Election District 08-08,LYDIA YORK,Democratic Party,706,65.07 %
Election District 08-08,JANICE LORRAH,Republican Party,379,34.93 %
Election District 08-09,LYDIA YORK,Democratic Party,412,51.24 %
Election District 08-09,JANICE LORRAH,Republican Party,392,48.76 %
Election District 08-10,LYDIA YORK,Democratic Party,464,66.76 %
Election District 08-10,JANICE LORRAH,Republican Party,231,33.24 %
Election District 08-11,LYDIA YORK,Democratic Party,183,52.89 %
Election District 08-11,JANICE LORRAH,Republican Party,163,47.11 %
Election District 09-01,LYDIA YORK,Democratic Party,329,36.84 %
Election District 09-01,JANICE LORRAH,Republican Party,564,63.16 %
Election District 09-02,LYDIA YORK,Democratic Party,538,63.07 %
Election District 09-02,JANICE LORRAH,Republican Party,315,36.93 %
Election District 09-03,LYDIA YORK,Democratic Party,611,50.71 %
Election District 09-03,JANICE LORRAH,Republican Party,594,49.29 %
Election District 09-04,LYDIA YORK,Democratic Party,181,51.42 %
Election District 09-04,JANICE LORRAH,Republican Party,171,48.58 %
Election District 09-05,LYDIA YORK,Democratic Party,412,63.38 %
Election District 09-05,JANICE LORRAH,Republican Party,238,36.62 %
Election District 09-06,LYDIA YORK,Democratic Party,345,62.61 %
Election District 09-06,JANICE LORRAH,Republican Party,206,37.39 %
Election District 09-07,LYDIA YORK,Democratic Party,10,40 %
Election District 09-07,JANICE LORRAH,Republican Party,15,60 %
Election District 09-08,LYDIA YORK,Democratic Party,268,50.47 %
Election District 09-08,JANICE LORRAH,Republican Party,263,49.53 %
Election District 09-09,LYDIA YORK,Democratic Party,45,33.09 %
Election District 09-09,JANICE LORRAH,Republican Party,91,66.91 %
Election District 09-10,LYDIA YORK,Democratic Party,535,60.25 %
Election District 09-10,JANICE LORRAH,Republican Party,353,39.75 %
Election District 09-11,LYDIA YORK,Democratic Party,648,46.25 %
Election District 09-11,JANICE LORRAH,Republican Party,753,53.75 %
Election District 09-12,LYDIA YORK,Democratic Party,694,52.9 %
Election District 09-12,JANICE LORRAH,Republican Party,618,47.1 %
Election District 09-13,LYDIA YORK,Democratic Party,810,61.04 %
Election District 09-13,JANICE LORRAH,Republican Party,517,38.96 %
Election District 10-01,LYDIA YORK,Democratic Party,393,57.96 %
Election District 10-01,JANICE LORRAH,Republican Party,285,42.04 %
Election District 10-02,LYDIA YORK,Democratic Party,423,57.47 %
Election District 10-02,JANICE LORRAH,Republican Party,313,42.53 %
Election District 10-03,LYDIA YORK,Democratic Party,422,59.94 %
Election District 10-03,JANICE LORRAH,Republican Party,282,40.06 %
Election District 10-04,LYDIA YORK,Democratic Party,389,67.18 %
Election District 10-04,JANICE LORRAH,Republican Party,190,32.82 %
Election District 10-05,LYDIA YORK,Democratic Party,532,59.44 %
Election District 10-05,JANICE LORRAH,Republican Party,363,40.56 %
Election District 10-06,LYDIA YORK,Democratic Party,481,56.26 %
Election District 10-06,JANICE LORRAH,Republican Party,374,43.74 %
Election District 10-07,LYDIA YORK,Democratic Party,439,63.99 %
Election District 10-07,JANICE LORRAH,Republican Party,247,36.01 %
Election District 10-08,LYDIA YORK,Democratic Party,411,62.84 %
Election District 10-08,JANICE LORRAH,Republican Party,243,37.16 %
Election District 10-09,LYDIA YORK,Democratic Party,333,53.54 %
Election District 10-09,JANICE LORRAH,Republican Party,289,46.46 %
Election District 10-10,LYDIA YORK,Democratic Party,615,63.34 %
Election District 10-10,JANICE LORRAH,Republican Party,356,36.66 %
Election District 10-11,LYDIA YORK,Democratic Party,536,62.54 %
Election District 10-11,JANICE LORRAH,Republican Party,321,37.46 %
Election District 10-12,LYDIA YORK,Democratic Party,497,71.2 %
Election District 10-12,JANICE LORRAH,Republican Party,201,28.8 %
Election District 11-01,LYDIA YORK,Democratic Party,354,61.46 %
Election District 11-01,JANICE LORRAH,Republican Party,222,38.54 %
Election District 11-02,LYDIA YORK,Democratic Party,697,52.84 %
Election District 11-02,JANICE LORRAH,Republican Party,622,47.16 %
Election District 11-03,LYDIA YORK,Democratic Party,233,25.46 %
Election District 11-03,JANICE LORRAH,Republican Party,682,74.54 %
Election District 11-04,LYDIA YORK,Democratic Party,359,35.16 %
Election District 11-04,JANICE LORRAH,Republican Party,662,64.84 %
Election District 11-05,LYDIA YORK,Democratic Party,301,31.32 %
Election District 11-05,JANICE LORRAH,Republican Party,660,68.68 %
Election District 11-06,LYDIA YORK,Democratic Party,216,24.91 %
Election District 11-06,JANICE LORRAH,Republican Party,651,75.09 %
Election District 11-07,LYDIA YORK,Democratic Party,85,31.84 %
Election District 11-07,JANICE LORRAH,Republican Party,182,68.16 %
Election District 11-08,LYDIA YORK,Democratic Party,96,28.92 %
Election District 11-08,JANICE LORRAH,Republican Party,236,71.08 %
Election District 11-09,LYDIA YORK,Democratic Party,53,21.81 %
Election District 11-09,JANICE LORRAH,Republican Party,190,78.19 %
Election District 11-10,LYDIA YORK,Democratic Party,80,26.85 %
Election District 11-10,JANICE LORRAH,Republican Party,218,73.15 %
Election District 11-11,LYDIA YORK,Democratic Party,57,23.95 %
Election District 11-11,JANICE LORRAH,Republican Party,181,76.05 %
Election District 11-12,LYDIA YORK,Democratic Party,40,27.03 %
Election District 11-12,JANICE LORRAH,Republican Party,108,72.97 %
Election District 11-13,LYDIA YORK,Democratic Party,105,30.79 %
Election District 11-13,JANICE LORRAH,Republican Party,236,69.21 %
Election District 11-14,LYDIA YORK,Democratic Party,81,34.18 %
Election District 11-14,JANICE LORRAH,Republican Party,156,65.82 %
Election District 12-01,LYDIA YORK,Democratic Party,592,63.38 %
Election District 12-01,JANICE LORRAH,Republican Party,342,36.62 %
Election District 12-02,LYDIA YORK,Democratic Party,462,65.53 %
Election District 12-02,JANICE LORRAH,Republican Party,243,34.47 %
Election District 12-03,LYDIA YORK,Democratic Party,385,63.85 %
Election District 12-03,JANICE LORRAH,Republican Party,218,36.15 %
Election District 12-04,LYDIA YORK,Democratic Party,730,56.28 %
Election District 12-04,JANICE LORRAH,Republican Party,567,43.72 %
Election District 12-05,LYDIA YORK,Democratic Party,630,55.75 %
Election District 12-05,JANICE LORRAH,Republican Party,500,44.25 %
Election District 12-06,LYDIA YORK,Democratic Party,221,49.55 %
Election District 12-06,JANICE LORRAH,Republican Party,225,50.45 %
Election District 12-07,LYDIA YORK,Democratic Party,192,65.98 %
Election District 12-07,JANICE LORRAH,Republican Party,99,34.02 %
Election District 12-08,LYDIA YORK,Democratic Party,112,82.35 %
Election District 12-08,JANICE LORRAH,Republican Party,24,17.65 %
Election District 12-09,LYDIA YORK,Democratic Party,504,59.57 %
Election District 12-09,JANICE LORRAH,Republican Party,342,40.43 %
Election District 12-10,LYDIA YORK,Democratic Party,451,53.5 %
Election District 12-10,JANICE LORRAH,Republican Party,392,46.5 %
Election District 12-11,LYDIA YORK,Democratic Party,396,46.81 %
Election District 12-11,JANICE LORRAH,Republican Party,450,53.19 %
Election District 12-12,LYDIA YORK,Democratic Party,63,63.64 %
Election District 12-12,JANICE LORRAH,Republican Party,36,36.36 %
Election District 12-13,LYDIA YORK,Democratic Party,179,49.45 %
Election District 12-13,JANICE LORRAH,Republican Party,183,50.55 %
Election District 12-14,LYDIA YORK,Democratic Party,438,54.96 %
Election District 12-14,JANICE LORRAH,Republican Party,359,45.04 %
Election District 12-15,LYDIA YORK,Democratic Party,337,66.6 %
Election District 12-15,JANICE LORRAH,Republican Party,169,33.4 %
Election District 12-16,LYDIA YORK,Democratic Party,630,70 %
Election District 12-16,JANICE LORRAH,Republican Party,270,30 %
Election District 12-17,LYDIA YORK,Democratic Party,892,72.94 %
Election District 12-17,JANICE LORRAH,Republican Party,331,27.06 %
Election District 13-01,LYDIA YORK,Democratic Party,312,56.22 %
Election District 13-01,JANICE LORRAH,Republican Party,243,43.78 %
Election District 13-02,LYDIA YORK,Democratic Party,255,62.81 %
Election District 13-02,JANICE LORRAH,Republican Party,151,37.19 %
Election District 13-03,LYDIA YORK,Democratic Party,89,80.18 %
Election District 13-03,JANICE LORRAH,Republican Party,22,19.82 %
Election District 13-04,LYDIA YORK,Democratic Party,434,58.18 %
Election District 13-04,JANICE LORRAH,Republican Party,312,41.82 %
Election District 13-05,LYDIA YORK,Democratic Party,330,61.68 %
Election District 13-05,JANICE LORRAH,Republican Party,205,38.32 %
Election District 13-06,LYDIA YORK,Democratic Party,395,57.58 %
Election District 13-06,JANICE LORRAH,Republican Party,291,42.42 %
Election District 13-07,LYDIA YORK,Democratic Party,216,64.48 %
Election District 13-07,JANICE LORRAH,Republican Party,119,35.52 %
Election District 13-08,LYDIA YORK,Democratic Party,369,73.21 %
Election District 13-08,JANICE LORRAH,Republican Party,135,26.79 %
Election District 13-09,LYDIA YORK,Democratic Party,372,68.76 %
Election District 13-09,JANICE LORRAH,Republican Party,169,31.24 %
Election District 13-10,LYDIA YORK,Democratic Party,154,60.39 %
Election District 13-10,JANICE LORRAH,Republican Party,101,39.61 %
Election District 13-11,LYDIA YORK,Democratic Party,281,71.32 %
Election District 13-11,JANICE LORRAH,Republican Party,113,28.68 %
Election District 13-12,LYDIA YORK,Democratic Party,0,0 %
Election District 13-12,JANICE LORRAH,Republican Party,0,0 %
Election District 13-13,LYDIA YORK,Democratic Party,55,76.39 %
Election District 13-13,JANICE LORRAH,Republican Party,17,23.61 %
Election District 13-14,LYDIA YORK,Democratic Party,240,57.97 %
Election District 13-14,JANICE LORRAH,Republican Party,174,42.03 %
Election District 13-15,LYDIA YORK,Democratic Party,18,64.29 %
Election District 13-15,JANICE LORRAH,Republican Party,10,35.71 %
Election District 14-01,LYDIA YORK,Democratic Party,862,54.73 %
Election District 14-01,JANICE LORRAH,Republican Party,713,45.27 %
Election District 14-02,LYDIA YORK,Democratic Party,749,55.07 %
Election District 14-02,JANICE LORRAH,Republican Party,611,44.93 %
Election District 14-03,LYDIA YORK,Democratic Party,942,66.71 %
Election District 14-03,JANICE LORRAH,Republican Party,470,33.29 %
Election District 14-04,LYDIA YORK,Democratic Party,"1,096",59.37 %
Election District 14-04,JANICE LORRAH,Republican Party,750,40.63 %
Election District 14-05,LYDIA YORK,Democratic Party,713,61.68 %
Election District 14-05,JANICE LORRAH,Republican Party,443,38.32 %
Election District 14-06,LYDIA YORK,Democratic Party,712,57.7 %
Election District 14-06,JANICE LORRAH,Republican Party,522,42.3 %
Election District 14-07,LYDIA YORK,Democratic Party,925,62.21 %
Election District 14-07,JANICE LORRAH,Republican Party,562,37.79 %
Election District 14-08,LYDIA YORK,Democratic Party,984,56.88 %
Election District 14-08,JANICE LORRAH,Republican Party,746,43.12 %
Election District 14-09,LYDIA YORK,Democratic Party,650,57.47 %
Election District 14-09,JANICE LORRAH,Republican Party,481,42.53 %
Election District 15-01,LYDIA YORK,Democratic Party,289,56.78 %
Election District 15-01,JANICE LORRAH,Republican Party,220,43.22 %
Election District 15-02,LYDIA YORK,Democratic Party,405,66.94 %
Election District 15-02,JANICE LORRAH,Republican Party,200,33.06 %
Election District 15-03,LYDIA YORK,Democratic Party,691,67.94 %
Election District 15-03,JANICE LORRAH,Republican Party,326,32.06 %
Election District 15-04,LYDIA YORK,Democratic Party,372,65.26 %
Election District 15-04,JANICE LORRAH,Republican Party,198,34.74 %
Election District 15-05,LYDIA YORK,Democratic Party,250,54.11 %
Election District 15-05,JANICE LORRAH,Republican Party,212,45.89 %
Election District 15-06,LYDIA YORK,Democratic Party,444,76.55 %
Election District 15-06,JANICE LORRAH,Republican Party,136,23.45 %
Election District 15-07,LYDIA YORK,Democratic Party,520,65.24 %
Election District 15-07,JANICE LORRAH,Republican Party,277,34.76 %
Election District 15-08,LYDIA YORK,Democratic Party,137,45.82 %
Election District 15-08,JANICE LORRAH,Republican Party,162,54.18 %
Election District 15-09,LYDIA YORK,Democratic Party,452,53.24 %
Election District 15-09,JANICE LORRAH,Republican Party,397,46.76 %
Election District 15-10,LYDIA YORK,Democratic Party,635,78.88 %
Election District 15-10,JANICE LORRAH,Republican Party,170,21.12 %
Election District 15-11,LYDIA YORK,Democratic Party,735,83.81 %
Election District 15-11,JANICE LORRAH,Republican Party,142,16.19 %
Election District 16-01,LYDIA YORK,Democratic Party,369,66.49 %
Election District 16-01,JANICE LORRAH,Republican Party,186,33.51 %
Election District 16-02,LYDIA YORK,Democratic Party,374,84.81 %
Election District 16-02,JANICE LORRAH,Republican Party,67,15.19 %
Election District 16-03,LYDIA YORK,Democratic Party,371,94.16 %
Election District 16-03,JANICE LORRAH,Republican Party,23,5.84 %
Election District 16-04,LYDIA YORK,Democratic Party,120,73.17 %
Election District 16-04,JANICE LORRAH,Republican Party,44,26.83 %
Election District 16-05,LYDIA YORK,Democratic Party,477,92.62 %
Election District 16-05,JANICE LORRAH,Republican Party,38,7.38 %
Election District 16-06,LYDIA YORK,Democratic Party,340,87.86 %
Election District 16-06,JANICE LORRAH,Republican Party,47,12.14 %
Election District 16-07,LYDIA YORK,Democratic Party,440,80 %
Election District 16-07,JANICE LORRAH,Republican Party,110,20 %
Election District 16-08,LYDIA YORK,Democratic Party,605,81.87 %
Election District 16-08,JANICE LORRAH,Republican Party,134,18.13 %
Election District 16-09,LYDIA YORK,Democratic Party,270,66.34 %
Election District 16-09,JANICE LORRAH,Republican Party,137,33.66 %
Election District 16-10,LYDIA YORK,Democratic Party,38,86.36 %
Election District 16-10,JANICE LORRAH,Republican Party,6,13.64 %
Election District 16-11,LYDIA YORK,Democratic Party,181,62.85 %
Election District 16-11,JANICE LORRAH,Republican Party,107,37.15 %
Election District 16-12,LYDIA YORK,Democratic Party,366,69.06 %
Election District 16-12,JANICE LORRAH,Republican Party,164,30.94 %
Election District 16-13,LYDIA YORK,Democratic Party,118,75.16 %
Election District 16-13,JANICE LORRAH,Republican Party,39,24.84 %
Election District 17-01,LYDIA YORK,Democratic Party,277,51.2 %
Election District 17-01,JANICE LORRAH,Republican Party,264,48.8 %
Election District 17-02,LYDIA YORK,Democratic Party,780,88.24 %
Election District 17-02,JANICE LORRAH,Republican Party,104,11.76 %
Election District 17-03,LYDIA YORK,Democratic Party,605,78.47 %
Election District 17-03,JANICE LORRAH,Republican Party,166,21.53 %
Election District 17-04,LYDIA YORK,Democratic Party,261,67.97 %
Election District 17-04,JANICE LORRAH,Republican Party,123,32.03 %
Election District 17-05,LYDIA YORK,Democratic Party,301,60.93 %
Election District 17-05,JANICE LORRAH,Republican Party,193,39.07 %
Election District 17-06,LYDIA YORK,Democratic Party,42,46.67 %
Election District 17-06,JANICE LORRAH,Republican Party,48,53.33 %
Election District 17-07,LYDIA YORK,Democratic Party,225,62.33 %
Election District 17-07,JANICE LORRAH,Republican Party,136,37.67 %
Election District 17-08,LYDIA YORK,Democratic Party,208,73.24 %
Election District 17-08,JANICE LORRAH,Republican Party,76,26.76 %
Election District 17-09,LYDIA YORK,Democratic Party,292,58.75 %
Election District 17-09,JANICE LORRAH,Republican Party,205,41.25 %
Election District 17-10,LYDIA YORK,Democratic Party,259,66.24 %
Election District 17-10,JANICE LORRAH,Republican Party,132,33.76 %
Election District 17-11,LYDIA YORK,Democratic Party,356,60.34 %
Election District 17-11,JANICE LORRAH,Republican Party,234,39.66 %
Election District 17-12,LYDIA YORK,Democratic Party,291,59.88 %
